DATE,AGE_GROUP,RACE_ETHNICITY,CITY_COUNT_FULLY_CUMULATIVE,BX_COUNT_FULLY_CUMULATIVE,BK_COUNT_FULLY_CUMULATIVE,MH_COUNT_FULLY_CUMULATIVE,QS_COUNT_FULLY_CUMULATIVE,SI_COUNT_FULLY_CUMULATIVE,CITY_PERC_FULLY,BK_PERC_FULLY,BX_PERC_FULLY,MH_PERC_FULLY,QS_PERC_FULLY,SI_PERC_FULLY
2022-11-10,Boroughwide,Boroughwide,6663427,1083678,1877156,1382884,1957412,362297,79.93,73.33,76.41,84.91,86.85,76.09
2022-11-10,All ages,Asian/NHPI,1223600,51292,321493,200572,599662,50581,99.19,100.49,88.47,97.96,99.97,98.84
2022-11-10,All ages,Black,1130382,259608,464535,133801,243263,29175,61.91,61.07,62.6,66.29,60.21,65.3
2022-11-10,All ages,Hispanic/Latino,1808262,545522,348203,324319,529543,60675,74.61,71.99,68.23,77.82,83.4,68.45
2022-11-10,All ages,White,1731189,84775,533546,574772,357651,180445,64.55,56.68,66.34,74.73,63.85,63.61
2022-11-10,'0-4,Asian/NHPI,5847,106,2037,1787,1733,184,8.72,9.88,3.07,22.09,5.36,7.15
2022-11-10,'0-4,Black,1079,222,416,261,159,21,1.01,0.91,0.82,2.88,0.73,0.7
2022-11-10,'0-4,Hispanic/Latino,2147,477,557,548,525,40,1.22,1.56,0.78,2.36,1.09,0.54
2022-11-10,'0-4,White,12491,369,5564,4974,1470,114,8.19,7.65,5.65,15.74,5.2,0.85
2022-11-10,'5-12,Asian/NHPI,96874,4604,29020,12627,45847,4776,102.93,102.61,88.18,137.56,97.72,105.71
2022-11-10,'5-12,Black,61858,17447,23837,6856,11987,1731,38.09,35.45,41.76,46.54,35.55,35.21
2022-11-10,'5-12,Hispanic/Latino,123608,40899,24185,16562,37817,4145,46.12,43.89,42.4,46.76,54.56,35.45
2022-11-10,'5-12,White,71704,3490,23180,28473,11938,4623,36.54,25.09,40.39,82.95,31.58,20.03
2022-11-10,'13-17,Asian/NHPI,65452,3281,18758,6514,33687,3212,119.41,120.41,97.13,136.3,120.41,103.58
2022-11-10,'13-17,Black,68335,17438,27794,6623,14169,2311,65.65,64.61,67.54,69.88,62.73,72.35
2022-11-10,'13-17,Hispanic/Latino,129127,43738,24914,17244,38030,5201,82.77,79,77.38,79.45,97.33,72.6
2022-11-10,'13-17,White,58605,3725,17074,17211,12637,7958,54.98,36.57,73.79,96.43,59.08,50.98
2022-11-10,'18-44,Asian/NHPI,542129,22205,144259,107790,248084,19791,105.63,108.18,95.42,99.51,108.2,104.15
2022-11-10,'18-44,Black,443281,100225,185123,54561,91105,12267,64.59,64.89,64.09,67.5,62.18,70.96
2022-11-10,'18-44,Hispanic/Latino,836717,236971,170543,150575,250241,28387,85.19,84.89,74.15,86.33,99.43,79.66
2022-11-10,'18-44,White,753031,28587,264312,265744,133493,60895,69.98,67.02,71.06,73.61,69.71,68.42
2022-11-10,'45-64,Asian/NHPI,341879,14461,84905,45355,182147,15011,104.16,104.07,96.09,101.9,105.6,102.73
2022-11-10,'45-64,Black,357708,83322,144285,41205,79907,8989,73.64,72.8,77.26,75.89,70.1,78.82
2022-11-10,'45-64,Hispanic/Latino,495421,154542,89123,88434,146539,16783,88.87,84.18,86.56,90.84,93.99,84.84
2022-11-10,'45-64,White,457952,24566,129623,140714,102456,60593,73.26,69.34,78.71,78.89,70.41,72.92
2022-11-10,'65+,Asian/NHPI,171419,6635,42514,26499,88164,7607,97.3,104.95,87.23,88.7,97.07,103.26
2022-11-10,'65+,Black,198121,40954,83080,24295,45936,3856,70.55,68.57,73.26,72.7,70.21,78.71
2022-11-10,'65+,Hispanic/Latino,221242,68895,38881,50956,56391,6119,77.81,71.29,78.86,78.86,79.52,88.44
2022-11-10,'65+,White,377406,24038,93793,117656,95657,46262,71.83,63.31,66.55,80.61,70.51,77.76
2022-11-03,Boroughwide,Boroughwide,6661120,1083119,1876375,1382525,1956944,362157,79.9,73.3,76.37,84.88,86.83,76.06
2022-11-03,All ages,Asian/NHPI,1222525,51199,321246,200356,599234,50490,99.1,100.42,88.31,97.85,99.9,98.66
2022-11-03,All ages,Black,1129038,259236,464131,133572,242961,29138,61.84,61.02,62.51,66.18,60.13,65.21
2022-11-03,All ages,Hispanic/Latino,1807135,545040,347999,324089,529344,60663,74.56,71.95,68.17,77.76,83.37,68.44
2022-11-03,All ages,White,1729557,84620,532937,574356,357374,180270,64.49,56.62,66.22,74.68,63.8,63.54
2022-11-03,'0-4,Asian/NHPI,5475,99,1902,1690,1619,165,8.16,9.23,2.87,20.89,5,6.41
2022-11-03,'0-4,Black,990,201,382,241,146,20,0.93,0.84,0.75,2.66,0.67,0.67
2022-11-03,'0-4,Hispanic/Latino,1966,433,519,498,477,39,1.12,1.45,0.71,2.14,0.99,0.52
2022-11-03,'0-4,White,11815,354,5269,4689,1396,107,7.75,7.24,5.42,14.84,4.94,0.8
2022-11-03,'5-12,Asian/NHPI,96762,4591,28996,12599,45812,4764,102.81,102.52,87.93,137.26,97.65,105.44
2022-11-03,'5-12,Black,61753,17411,23810,6842,11963,1727,38.03,35.41,41.67,46.45,35.48,35.13
2022-11-03,'5-12,Hispanic/Latino,123404,40816,24140,16529,37780,4139,46.05,43.81,42.31,46.67,54.51,35.4
2022-11-03,'5-12,White,71640,3475,23182,28434,11932,4617,36.51,25.09,40.22,82.83,31.57,20.01
2022-11-03,'13-17,Asian/NHPI,65429,3270,18750,6512,33688,3209,119.37,120.35,96.8,136.26,120.42,103.48
2022-11-03,'13-17,Black,68260,17408,27781,6606,14158,2307,65.58,64.58,67.43,69.7,62.68,72.23
2022-11-03,'13-17,Hispanic/Latino,129031,43703,24870,17225,38032,5201,82.71,78.86,77.32,79.37,97.33,72.6
2022-11-03,'13-17,White,58519,3715,17049,17185,12618,7952,54.9,36.52,73.59,96.28,58.99,50.94
2022-11-03,'18-44,Asian/NHPI,541865,22163,144241,107741,247948,19772,105.58,108.16,95.23,99.46,108.15,104.05
2022-11-03,'18-44,Black,442755,100108,184917,54496,90986,12248,64.51,64.82,64.01,67.42,62.1,70.86
2022-11-03,'18-44,Hispanic/Latino,836312,236816,170471,150503,250159,28363,85.15,84.86,74.11,86.29,99.39,79.59
2022-11-03,'18-44,White,752851,28530,264238,265768,133466,60849,69.96,67,70.91,73.62,69.7,68.37
2022-11-03,'45-64,Asian/NHPI,341703,14442,84863,45340,182074,14984,104.1,104.02,95.96,101.86,105.56,102.55
2022-11-03,'45-64,Black,357340,83231,144189,41127,79807,8986,73.57,72.75,77.18,75.75,70.01,78.8
2022-11-03,'45-64,Hispanic/Latino,495256,154423,89120,88409,146511,16793,88.84,84.18,86.49,90.82,93.98,84.89
2022-11-03,'45-64,White,457618,24531,129511,140669,102372,60535,73.2,69.28,78.6,78.86,70.35,72.85
2022-11-03,'65+,Asian/NHPI,171291,6634,42494,26474,88093,7596,97.22,104.9,87.22,88.62,96.99,103.11
2022-11-03,'65+,Black,197940,40877,83052,24260,45901,3850,70.49,68.55,73.13,72.59,70.16,78.59
2022-11-03,'65+,Hispanic/Latino,221166,68849,38879,50925,56385,6128,77.78,71.29,78.8,78.82,79.51,88.57
2022-11-03,'65+,White,377114,24015,93688,117611,95590,46210,71.78,63.24,66.49,80.58,70.46,77.67
2022-10-27,Boroughwide,Boroughwide,6658820,1082690,1875484,1382247,1956411,361988,79.87,73.26,76.34,84.87,86.8,76.03
2022-10-27,All ages,Asian/NHPI,1221512,51113,320996,200129,598849,50425,99.02,100.34,88.16,97.74,99.84,98.53
2022-10-27,All ages,Black,1127629,258857,463687,133380,242590,29115,61.76,60.96,62.42,66.09,60.04,65.16
2022-10-27,All ages,Hispanic/Latino,1805853,544507,347700,323848,529200,60598,74.51,71.89,68.1,77.71,83.35,68.37
2022-10-27,All ages,White,1727398,84521,532151,573717,356956,180053,64.41,56.54,66.14,74.6,63.73,63.47
2022-10-27,'0-4,Asian/NHPI,5107,89,1765,1586,1521,146,7.61,8.57,2.58,19.6,4.7,5.67
2022-10-27,'0-4,Black,925,179,356,232,138,20,0.87,0.78,0.66,2.56,0.63,0.67
2022-10-27,'0-4,Hispanic/Latino,1789,384,472,462,436,35,1.02,1.32,0.63,1.99,0.91,0.47
2022-10-27,'0-4,White,11234,342,5022,4439,1329,102,7.36,6.9,5.24,14.05,4.7,0.76
