Begin Date of the Week,REDC Region,First Infections Count,Reinfections Count
11/21/2022,Capital Region,638,178
11/21/2022,Central New York,361,86
11/21/2022,Finger Lakes,668,175
11/21/2022,Long Island,5284,2019
11/21/2022,Mid-Hudson,3151,1150
11/21/2022,Mohawk Valley,240,81
11/21/2022,New York City,14324,5072
11/21/2022,North Country,200,62
11/21/2022,Southern Tier,496,152
11/21/2022,Western New York,673,169
11/14/2022,Capital Region,668,184
11/14/2022,Central New York,419,133
11/14/2022,Finger Lakes,784,202
11/14/2022,Long Island,4884,1908
11/14/2022,Mid-Hudson,2884,922
11/14/2022,Mohawk Valley,292,85
11/14/2022,New York City,14522,4910
11/14/2022,North Country,213,54
11/14/2022,Southern Tier,541,162
11/14/2022,Western New York,652,207
11/07/2022,Capital Region,819,193
11/07/2022,Central New York,466,122
11/07/2022,Finger Lakes,844,211
11/07/2022,Long Island,4434,1527
11/07/2022,Mid-Hudson,2811,861
11/07/2022,Mohawk Valley,302,104
11/07/2022,New York City,13956,4556
11/07/2022,North Country,291,65
11/07/2022,Southern Tier,532,148
11/07/2022,Western New York,878,275
10/31/2022,Capital Region,1076,304
10/31/2022,Central New York,637,168
10/31/2022,Finger Lakes,1045,270
10/31/2022,Long Island,4960,1688
10/31/2022,Mid-Hudson,3247,951
10/31/2022,Mohawk Valley,473,147
10/31/2022,New York City,14726,4595
10/31/2022,North Country,429,89
10/31/2022,Southern Tier,791,201
10/31/2022,Western New York,1295,356
10/24/2022,Capital Region,1238,287
10/24/2022,Central New York,777,199
10/24/2022,Finger Lakes,1094,256
10/24/2022,Long Island,4675,1518
10/24/2022,Mid-Hudson,3075,862
10/24/2022,Mohawk Valley,546,163
10/24/2022,New York City,13123,3744
10/24/2022,North Country,412,79
10/24/2022,Southern Tier,771,225
10/24/2022,Western New York,1463,346
10/17/2022,Capital Region,1171,249
10/17/2022,Central New York,919,254
10/17/2022,Finger Lakes,1191,271
10/17/2022,Long Island,4292,1242
10/17/2022,Mid-Hudson,2982,773
10/17/2022,Mohawk Valley,584,192
10/17/2022,New York City,11742,3216
10/17/2022,North Country,492,100
10/17/2022,Southern Tier,798,212
10/17/2022,Western New York,1517,398
10/10/2022,Capital Region,1586,338
10/10/2022,Central New York,1191,282
10/10/2022,Finger Lakes,1409,331
10/10/2022,Long Island,4419,1280
10/10/2022,Mid-Hudson,3028,779
10/10/2022,Mohawk Valley,751,213
10/10/2022,New York City,11715,3019
10/10/2022,North Country,608,147
10/10/2022,Southern Tier,968,236
10/10/2022,Western New York,1546,443
10/03/2022,Capital Region,1558,328
10/03/2022,Central New York,1436,419
10/03/2022,Finger Lakes,1499,340
10/03/2022,Long Island,4469,1167
